1:U_ID	2:Mac	3:IpAddress	4:Install	5:Star	6:VERSION	7:Date	8:Times	9:ChannelID	10:Remark
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	16	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	2003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	2003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120102	2012-04-12	18	1003	XP_WIN7
	83921383800d8408787c	127.0.0.1	1	1	20120403	2012-04-12	18	32	XP_WIN7
